Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,clustno
Sachin Baby,234,15,2,1.4,8,2,0/0,4.0,4.8,5.0,0,0,1
Beuran Hendricks,152,7,7,25.0,235,9,3/36,26.11,9.4,16.66,0,0,1
Shreyas Gopal,166,6,6,19.1,154,7,2/25,22.0,8.03,16.42,0,0,1
Ben Laughlin,273,2,2,7.0,71,1,1/25,71.0,10.14,42.0,0,0,1
JM Kemp,221,5,5,7.2,54,3,3/12,18.0,7.36,14.66,0,0,1
Deepak Chahar,298,2,2,5.0,41,0,0/0,0.0,8.2,0.0,0,0,1
Steve Smith,318,54,1,0.2,5,0,0/0,0.0,15.0,0.0,0,0,1
Y Gnaneswara Rao,291,2,1,1.0,7,0,0/0,0.0,7.0,0.0,0,0,1
Abrar Kazi,308,1,1,2.0,21,0,0/21,0.0,10.5,0.0,0,0,1
Ambati Rayudu,292,109,1,3.0,22,0,0/0,0.0,7.33,0.0,0,0,1
Mandeep Singh,261,59,1,3.0,23,1,0/0,23.0,7.66,18.0,0,0,1
Murali Vijay,297,100,4,6.0,49,0,0/0,0.0,8.16,0.0,0,0,1
Kemar Roach,307,2,2,8.0,80,0,0/0,0.0,10.0,0.0,0,0,1
Sunny Gupta,320,1,1,3.0,47,0,0/47,0.0,15.66,0.0,0,0,1
Daniel Harris,301,4,2,3.0,26,0,0/0,0.0,8.66,0.0,0,0,1
James Franklin,150,20,15,25.1,220,9,2/18,24.44,8.74,16.77,0,0,1
Shikhar Dhawan,208,113,6,8.0,66,4,1/7,16.5,8.25,12.0,0,0,1
Ross Taylor,313,55,2,2.0,24,0,0/0,0.0,12.0,0.0,0,0,1
Krunal Pandya,174,12,11,31.1,236,6,2/15,39.33,7.57,31.16,0,0,1
Hanuma Vihari,257,22,5,6.0,38,1,1/5,38.0,6.33,36.0,0,0,1
Nitish Rana,285,4,1,1.0,3,0,0/0,0.0,3.0,0.0,0,0,1
Shrikant Wagh,191,8,8,17.0,137,5,3/16,27.4,8.05,20.4,0,0,1
Adam Milne,277,1,1,4.0,43,1,1/43,43.0,10.75,24.0,0,0,1
Siddharth Chitnis,245,11,2,6.0,60,2,2/40,30.0,10.0,18.0,0,0,1
Andrew Flintoff,244,3,3,11.0,105,2,1/11,52.5,9.54,33.0,0,0,1
Dinesh Salunkhe,269,6,5,7.5,78,1,1/21,78.0,9.95,47.0,0,0,1
Dominic Thornely,218,6,4,7.0,40,3,2/7,13.33,5.71,14.0,0,0,1
Brett Geeves,280,2,2,8.0,91,1,1/50,91.0,11.37,48.0,0,0,1
Abdur Razzak,316,1,1,2.0,29,0,0/29,0.0,14.5,0.0,0,0,1
Marchant de Lange,195,5,5,18.0,169,5,3/34,33.8,9.38,21.6,0,0,1
Adam Gilchrist,252,80,1,0.1,0,1,1/0,0.0,0.0,1.0,0,0,1
Cameron White,283,47,6,7.0,86,1,1/14,86.0,12.28,42.0,0,0,1
C Ganapathy,315,1,1,1.0,13,0,0/13,0.0,13.0,0.0,0,0,1
JJ van der Wath,231,3,3,12.0,129,3,2/49,43.0,10.75,24.0,0,0,1
Ben Rohrer,312,8,1,1.0,12,0,0/0,0.0,12.0,0.0,0,0,1
Nathan Rimmington,287,1,1,3.0,19,0,0/19,0.0,6.33,0.0,0,0,1
Faiz Fazal,306,12,2,2.0,20,0,0/0,0.0,10.0,0.0,0,0,1
Gurinder Sandhu,274,3,2,8.0,82,1,1/33,82.0,10.25,48.0,0,0,1
Shoaib Akhtar,190,3,3,7.0,54,5,4/11,10.8,7.71,8.4,1,0,1
Shahid Afridi,144,10,10,30.0,225,9,3/28,25.0,7.5,20.0,0,0,1
